rest_name,category,name,price,img
Aladdin's Natural Eatery,Juice,Small Orange Juice,2.75,
Aladdin's Natural Eatery,Juice,Large Orange Juice,3.75,https://www.ithacatogo.com/food/v_1_i49430s.jpg
Aladdin's Natural Eatery,Juice,Bottled Apple Juice,2.5,
Aladdin's Natural Eatery,Beverages,Milk,2,
Aladdin's Natural Eatery,Beverages,Unsweetened Iced Tea,2.75,
Aladdin's Natural Eatery,Beverages,12 oz. Redbull,3.5,
Aladdin's Natural Eatery,Beverages,12 oz. Sugar Free Redbull,4,
Aladdin's Natural Eatery,Beverages,Bottled Water,1.5,
Aladdin's Natural Eatery,Beverages,Saratoga Sparkling Water,3,
Aladdin's Natural Eatery,Beverages,Ginger Beer,2.75,
Aladdin's Natural Eatery,Beverages,Root Beer,2.75,
Aladdin's Natural Eatery,Beverages,Shirley Temple Soda,2.75,
Aladdin's Natural Eatery,Beverages,Iced Coffee,2,
Aladdin's Natural Eatery,Beverages,Teavana Craft Iced Tea - Peach Green Tea,3,
Aladdin's Natural Eatery,Beverages,Wild Berry Saratoga Sparkling Water,3,
Aladdin's Natural Eatery,Beverages,Lemon Lime Saratoga Sparkling Waters,3,
Aladdin's Natural Eatery,Appetizers,Hummus (Appetizer),8.5,https://www.ithacatogo.com/food/v_2_i48461s.jpg
Aladdin's Natural Eatery,Appetizers,Baba Ghanough (Appetizer),8.5,
Aladdin's Natural Eatery,Appetizers,Tourlou,8.5,https://www.ithacatogo.com/food/v_1_i10544108s.jpg
Aladdin's Natural Eatery,Appetizers,Dolmades (Appetizer),8,https://www.ithacatogo.com/food/v_1_i48477s.jpg
Aladdin's Natural Eatery,Appetizers,Spanakopita (Appetizer),9,https://www.ithacatogo.com/food/v_2_i48484s.jpg
Aladdin's Natural Eatery,Appetizers,Tzatziki Dip (Appetizer),8.95,
Aladdin's Natural Eatery,Appetizers,Falafel (Appetizer),7.95,https://www.ithacatogo.com/food/v_1_i48476s.jpg
Aladdin's Natural Eatery,Appetizers,Sauteed Spinach (Appetizer),8,
Aladdin's Natural Eatery,Appetizers,Toasted Ravioli,7.95,https://www.ithacatogo.com/food/v_1_i48485s.jpg
Aladdin's Natural Eatery,Appetizers,Grilled Chicken Strips,7.25,
Aladdin's Natural Eatery,Appetizers,Veggie Combo,14,https://www.ithacatogo.com/food/v_1_i48457s.jpg
Aladdin's Natural Eatery,Appetizers,Garlic Bread (Appetizer),7.25,
Aladdin's Natural Eatery,Friday Special,Fish & Chips,14,
Aladdin's Natural Eatery,Specialities,Chicken Souvlaki,14,https://www.ithacatogo.com/food/v_1_i49022s.jpg
Aladdin's Natural Eatery,Specialities,Mediterranean Burger,12,
Aladdin's Natural Eatery,Specialities,Beef Souvlaki,14,
Aladdin's Natural Eatery,Specialities,Spanakopita,14,https://www.ithacatogo.com/food/v_1_i49113s.jpg
Aladdin's Natural Eatery,Specialities,Moussaka,14,https://www.ithacatogo.com/food/v_1_i49132s.jpg
Aladdin's Natural Eatery,Specialities,Gyro Plate,13,https://www.ithacatogo.com/food/v_2_i49071s.jpg
Aladdin's Natural Eatery,Specialities,Souvlaki Combo,14.5,https://www.ithacatogo.com/food/v_1_i49054s.jpg
Aladdin's Natural Eatery,Specialities,Melanzangna,14,https://www.ithacatogo.com/food/v_1_i49166s.jpg
Aladdin's Natural Eatery,Mediterranean Paninis,Gyro Panini,8.95,
Aladdin's Natural Eatery,Mediterranean Paninis,Chicken Panini,8.95,
Aladdin's Natural Eatery,Mediterranean Paninis,Vegetarian Panini,8,
Aladdin's Natural Eatery,Pitas,Chicken Caesar Pita,7.5,
Aladdin's Natural Eatery,Pitas,Gyro Pita,7.5,https://www.ithacatogo.com/food/v_2_i49016s.jpg
