id,hash,name
saigon-kitchen-ithaca,FJsh0TOIQJWj3aQP4Yg0_A,Saigon Kitchen
carriage-house-cafe-ithaca,fSFb98pIz-FQochhvsKioA,Carriage House Cafe
just-a-taste-ithaca,BdpaiSFcwCJKQHV7nhez7g,Just A Taste
maxies-supper-club-and-oyster-bar-ithaca,bf-6Bh9gM6gEJHr4tdd7iA,Maxie's Supper Club & Oyster Bar
mix-kitchen-and-bar-ithaca-10,h0nPGPVrqZHCrrauTrywrA,MIX Kitchen & Bar
ithaca-beer-company-ithaca-2,7LQgO9CBIOzzkWs4ydJ9JQ,Ithaca Beer Company
collegetown-bagels-ithaca,uv7n9Af48hRVlpLNojvi7g,Collegetown Bagels
ithaca-ale-house-ithaca,4o6C5dFjyjBvF1g9st78NA,Ithaca Ale House
gorgers-subs-ithaca-2,8nGWw2SSiVuhh18NLVqDuw,Gorgers Subs
waffle-frolic-ithaca,Ey6t9YAXkaIp8Qi-nWEnDg,Waffle Frolic
ithaca-bakery-ithaca,CxOApc8E_VnFvwYDbaIoSw,Ithaca Bakery
purity-ice-cream-ithaca,ID07ERaiqMpl-S2tdQSXlA,Purity Ice Cream
cornell-dairy-bar-ithaca,k_29K9WijS55n5qlqiNxYQ,Cornell Dairy Bar
viva-taqueria-ithaca,VipfYExJjVsD31KnUZqHJg,Viva Taqueria
mercato-bar-and-kitchen-ithaca,uOxHLnePU2wyTqPJ_p7ryw,Mercato Bar & Kitchen
ports-of-new-york-winery-ithaca-2,qm1wK-WHnuJvifufgb2AnQ,Ports of New York Winery
zazas-cucina-ithaca,ufYKds6AjKs_NwOb1mDhwA,ZaZa's Cucina
asia-cuisine-ithaca,QSGSWUCRzhoQa-v5dGoD6g,Asia Cuisine
agava-ithaca-2,0ouRW6X9JIzOdE-c5NEpsg,Agava
moosewood-restaurant-ithaca-4,hn8KBBBUMSulh1A89MpCiw,Moosewood Restaurant
